data_coleta;dia_batalha;conta_tipo;player_tag;player_nome;player_fame;player_posicao;clan_tag;clan_nome;clan_posicao;clan_fame;decks_usados;boat_attacks;deck_1;deck_1_tipo;deck_2;deck_2_tipo;deck_3;deck_3_tipo;deck_4;deck_4_tipo;war_vitorias;war_derrotas;war_medals;war_torre;war_battles_count
2026-07-17;Dia 1;#2QR292P;#LLLURJ0L2;EL_GRANDE BRUXO;100;2;#QCLPL9VQ;Tropa Do Bruxo;5;400;1;0;Musketeer, Royal Giant, Golden Knight, Valkyrie, Magic Archer, Dark Prince, Miner, Arrows;RangeBattle;;;;;;;0;1;100;Tower Princess;1
2026-07-17;Dia 1;#2220UQQ0UU;#U9CGUCLCG;luffy d°nike;250;2;#R0JVY98R;BLACK「DR4GON;1;3053;2;2;;;;;;;;;0;0;0;Tower Princess;0
2026-07-17;Dia 1;#2220UQQ0UU;#VGQCC98Y9;BLACK¿;275;1;#R0JVY98R;BLACK「DR4GON;1;3053;3;3;;;;;;;;;0;0;0;Tower Princess;0
2026-07-17;Dia 1;#2QR292P;#8U0L2VLVC;standly;300;4;#2Q2JGURL;www.geppetto.sk;2;2080;2;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-17;Dia 1;#2QR292P;#82YL8QLPU;Janci;300;5;#2Q2JGURL;www.geppetto.sk;2;2080;3;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-17;Dia 1;#2QR292P;#G0RJQPGU2;tariki shab;325;5;#R0JUGVR9;TITA;1;3248;3;3;Mega Knight, Balloon, Sparky, Elite Barbarians, Inferno Dragon, Lumberjack, Ram Rider, Valkyrie;Barco;P.E.K.K.A, Firecracker, Barbarians, Wizard;Barco;;;;;0;2;150;Tower Princess;2
2026-07-17;Dia 1;#2QR292P;#8RU2Q8QGR;USAF HC;350;4;#9C9UVJR8;Donations 2.0;3;1143;4;4;;;;;;;;;0;0;0;Tower Princess;0
2026-07-17;Dia 1;#2QR292P;#CYRR8YU9;Eddy;400;3;#9C9UVJR8;Donations 2.0;3;1143;2;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-17;Dia 1;#2220UQQ0UU;#20RPGGQV99;Gustavo;400;1;#J00J9Q0L;Top Resenhas;2;1800;4;4;;;;;;;;;0;0;0;Tower Princess;0
2026-07-17;Dia 1;#2QR292P;#YG9VCC998;Marcooo!11;500;3;#2Q2JGURL;www.geppetto.sk;2;2080;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-17;Dia 1;#2QR292P;#JQ0U0U9P8;Angy4;500;2;#GQC8L2CG;TESCHIO NERO;4;759;4;0;Tombstone, Baby Dragon, Magic Archer, Goblin Gang, Firecracker, Electro Giant, Ice Wizard, Bats;Barco;Cannon, Bowler, Mortar, Dart Goblin;Barco;;;;;0;1;75;Tower Princess;1
2026-07-17;Dia 1;#2QR292P;#PYRCY8CGG;vitorugoBL;550;1;#QCLPL9VQ;Tropa Do Bruxo;5;400;4;0;;;;;;;;;0;0;0;Tower Princess;0
